SDE_ID,CO_CODE,CTU_CODE,CTU_ID,COCTU_ID,CTU_NAME,YEAR,NONRES_GRO,NONRES_SUB,NONRES_TYP,BLDG_NAME,BLDG_DESC,PERMIT_TYP,PERMIT_VAL,SQF,ADDRESS,ZIP_CODE,PIN,community_,geometry
11241,123,37502,02395733,12302395733,Little Canada,2011,C,OFF,Medical Facilities,St. Jude Medical,Building Expansion (Addition),A,16000000.0,16900.0,1 St. Jude Medical Drive,55117,,Suburban,POINT (491997.45079999976 4984356.557399999)
10300,139,59350,02395854,13902395854,Shakopee,2010,C,COS,Arts Entertainment and Recreation,Valleyfair,Family care center,N,209000.0,0.0,1 Valleyfair Dr,,,Suburban Edge,POINT (464139.21300000045 4960694.172800001)
5734,139,59350,02395854,13902395854,Shakopee,2005,P,SCH,Schools,ISD #720,Senior high school,N,40000000.0,320000.0,100 17th Av W,55379,,Suburban Edge,POINT (458217.8503999999 4957752.6752)
7435,053,51730,02396242,05302396242,Plymouth,2007,P,SCH,Schools,Plymouth Middle School,School renovation w addn,A,18268000.0,0.0,10011 36th Av N,55441,2411822110042,Suburban Edge,POINT (467992.41610000003 4985390.5056)
13004,003,01720,02393964,00302393964,Anoka,2013,C,COS,Eating and Drinking Establishments,Caribou Coffee,Coffee shop,N,604758.0,1809.0,101 Main St W,55303,,Suburban,POINT (469137.70469999965 5005194.849199999)
14009,123,58000,02396511,12302396511,St. Paul,2014,P,SCH,Schools,Twin Cities German Immersion School,School,A,2482492.0,0.0,1028 Van Slyke Ave,,,Urban Center,POINT (488678.3387000002 4980324.513699999)
3480,053,51730,02396242,05302396242,Plymouth,2003,P,SCH,Schools,ISD #281,School,A,197000.0,864.0,10635 36th Av,55441,2411822220012,Suburban Edge,POINT (467139.8214999996 4985270.5218)
8297,053,51730,02396242,05302396242,Plymouth,2008,P,SCH,Schools,Armstrong High School,High school,A,529532.0,488.0,10635 36th Ave N,,2411822220012,Suburban Edge,POINT (467139.8214999996 4985270.5218)
14021,053,43252,02395350,05302395350,Minnetonka,2014,P,SCH,Schools,L.H. Tanglen Elementary,School Gym,A,1954800.0,0.0,10901 Hillside La W,,,Suburban,POINT (467083.00490000006 4978264.751499999)
6724,139,59350,02395854,13902395854,Shakopee,2006,C,COS,Arts Entertainment and Recreation,Canterbury Park Card Club,Chapel,N,300000.0,0.0,1100 Canterbury Rd S,55379,,Suburban Edge,POINT (461798.8202999998 4959796.5605)
6009,003,06382,02394183,00302394183,Blaine,2006,P,REL,Religious,Abundant Life Church,Church,A,950000.0,14000.0,1105 117th Av NE,55434,083123330039,Suburban Edge,POINT (481033.0658999998 5003441.2589)
13069,019,10972,02393809,01902393809,Chaska,2013,C,OFF,Medical Facilities,212 Medical Center,Medical building,N,5850000.0,0.0,111 Hundertmark Road,55318,300410010,Suburban Edge,POINT (452469.5466 4962914.019200001)
12075,019,10972,02393809,01902393809,Chaska,2012,C,COS,Eating and Drinking Establishments,McDonald's,Restaurant,N,1400000.0,0.0,1120 Hazeltine Blvd,,,Suburban Edge,POINT (452585.71169999987 4964781.4998)
4459,053,40166,02395838,05302395838,Maple Grove,2004,P,SCH,Schools,ISD #279,School service center,A,6950000.0,63918.0,11200 93rd Ave N,55369,,Suburban Edge,POINT (466719.2548000002 4996877.503799999)
6013,003,06382,02394183,00302394183,Blaine,2006,C,COS,Arts Entertainment and Recreation,Brunswick Zone XL,Bowling alley/recreation center,N,4428000.0,55437.0,11351 Ulysses St NE,55434,173123240163,Suburban Edge,POINT (481409.30869999994 5002606.892200001)
5651,123,58000,02396511,12302396511,St. Paul,2005,C,RET,Grocery,Aldi,Grocery store,N,1100000.0,15280.0,1140 University Av W,55104,,Urban Center,POINT (488320.9506999999 4978016.6558)
3359,053,10846,02393797,05302393797,Champlin,2003,C,COS,Eating and Drinking Establishments,Buffalo Wild Wings,Restaurant,N,374640.0,5352.0,11580 Theatre Dr,55316,3112021210106,Suburban,POINT (469150.81290000025 5001250.1435)
7018,003,06382,02394183,00302394183,Blaine,2007,P,REL,Religious,Bridgewood Church,Church,A,775000.0,22780.0,11670 Lexington Av,,143123110002,Suburban Edge,POINT (486985.4258000003 5003097.907500001)
